League;Stat;Next Match;Odds;Date;Resultado;Situação;Liga_Categoria;Tipo_Estatistica;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Championship;Southampton have had BTTS in their last 12 away league matches;SOUTHAMPTON vs birmingham;1.62;29/12/2025 17:15;'1-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.5882346261698084;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 12 jogos (Odds: 1.62) Streak bonus: +18% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
Championship;Southampton have had BTTS in their last 6 league matches;SOUTHAMPTON vs birmingham;1.62;29/12/2025 17:15;'1-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.6246312565366832;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.62) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Championship;Southampton have had Over 2.5 Match Goals in their last 7 away league matches;SOUTHAMPTON vs birmingham;1.8;29/12/2025 17:15;'1-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7309442279655936;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: 1.80) Streak bonus: +10% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Saudi Pro League;Al Nassr have Won their last 10 league matches;AL NASSR vs al ettifaq;1.33;30/12/2025 14:30;'2-2;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.818939299665397;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 10 jogos (Odds: 1.33) Streak bonus: +15% Tipo bonus: +8% Previsão: MANTERÁ STREAK
Premier League;Bournemouth have had Over 2.5 Match Goals in their last 7 away league matches;BOURNEMOUTH vs chelsea;1.57;30/12/2025 16:30;'2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5887265816559326;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.57) Streak bonus: +10% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
National League;Aldershot have had BTTS in their last 6 home league matches;ALDERSHOT vs wealdstone;1.5;30/12/2025 16:45;'4-1;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.5055927332437871;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: BTTS em 6 jogos (Odds: 1.50) Streak bonus: +9% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
National League;Altrincham have had Over 2.5 Match Goals in their last 6 league matches;ALTRINCHAM vs york;1.44;30/12/2025 16:45;'1-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.6071068003077927;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 6 jogos (Odds: 1.44) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Northern Ireland Premiership;Carrick Rangers have had BTTS in their last 7 league matches;CARRICK RANGERS vs crusaders;1.57;30/12/2025 16:45;2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.5987265816559326;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.57) Streak bonus: +10% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
National League;Gateshead have Lost their last 7 league matches;GATESHEAD vs scunthorpe;1.4;30/12/2025 16:45;'2-0;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.5481799741043843;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: DERROTA em 7 jogos (Odds: 1.40) Streak bonus: +10% Previsão: INTERROMPERÁ STREAK
National League;Tamworth have had BTTS in their last 7 league matches;TAMWORTH vs halifax;1.75;30/12/2025 16:45;'0-2;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.7036493652986842;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: BTTS em 7 jogos (Odds: 1.75) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
National League;Tamworth have had Over 2.5 Match Goals in their last 7 league matches;TAMWORTH vs halifax;1.95;30/12/2025 16:45;'0-2;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5488289658556642;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: OVER_2.5 em 7 jogos (Odds: 1.95) Streak bonus: +10% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
National League;York have had BTTS in their last 8 away league matches;YORK vs altrincham;1.57;30/12/2025 16:45;'1-2;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.637660440224893;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.57) Streak bonus: +12% Tipo bonus: +5% Previsão: MANTERÁ STREAK
National League;York have had Over 2.5 Match Goals in their last 8 league matches;YORK vs altrincham;1.44;30/12/2025 16:45;'1-2;VERDADEIRO;MEDIA_CONFIABILIDADE;OVER_2.5;0.6754073157576672;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 8 jogos (Odds: 1.44) Streak bonus: +12% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Premier League;Arsenal have Won their last 6 home league matches;ARSENAL vs aston villa;1.5;30/12/2025 17:15;'4-1;VERDADEIRO;MEDIA_CONFIABILIDADE;VITORIA;0.5355927332437871;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: VITORIA em 6 jogos (Odds: 1.50) Streak bonus: +9% Tipo bonus: +8% Previsão: INTERROMPERÁ STREAK
Premier League;Aston Villa have Won their last 8 league matches;ASTON VILLA vs arsenal;6.25;30/12/2025 17:15;'4-1;FALSO;MEDIA_CONFIABILIDADE;VITORIA;0.4222584329839378;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: VITORIA em 8 jogos (Odds: 6.25) Streak bonus: +12% Tipo bonus: +8% Previsão: INTERROMPERÁ STREAK
Segunda Liga;Lusitania FC Lourosa have had Over 2.5 Match Goals in their last 6 away league matches;LUSITANIA FC LOUROSA vs torreense;2.05;30/12/2025 17:15;0-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5194516861869815;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: OVER_2.5 em 6 jogos (Odds: 2.05) Streak bonus: +9% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
Premier League;Wolves have Lost their last 11 league matches;WOLVES vs man united;1.33;30/12/2025 17:15;1-1;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.7468850926415492;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: DERROTA em 11 jogos (Odds: 1.33) Streak bonus: +16% Previsão: MANTERÁ STREAK
Premier League;Wolves have Lost their last 6 away league matches;WOLVES vs man united;1.33;30/12/2025 17:15;1-1;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.5538717956797903;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 1.33) Streak bonus: +9% Previsão: INTERROMPERÁ STREAK
