League;Stat;Next Match;Odds;Date;Resultado;Situação;Liga_Categoria;Tipo_Estatistica;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Primera Division;Estudiantes de Rio Cuarto have Lost their last 6 away league matches;ESTUDIANTES DE RIO CUARTO vs ca aldosivi;2.1;04/04/2026 13:30;0-0;FALSO;MEDIA_CONFIABILIDADE;DERROTA;0.6005951059670382;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: 2.10) Streak bonus: +9% Previsão: MANTERÁ STREAK
Segunda Division;Valladolid have had Over 2.5 Match Goals in their last 9 away league matches;VALLADOLID vs leonesa;2.08;04/04/2026 13:30;'1-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.4955874001163087;JOGO_FUTURO;FALSO;PADRAO_FRACO;ARISCADO;PADRAO_FRACO: OVER_2.5 em 9 jogos (Odds: 2.08) Streak bonus: +14% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
Eredivisie;Fortuna Sittard have had BTTS in their last 12 league matches;FORTUNA SITTARD vs az alkmaar;1.7;04/04/2026 13:45;2-0;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.605201923717025;JOGO_FUTURO;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 12 jogos (Odds: 1.70) Streak bonus: +18% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Eredivisie;Fortuna Sittard have had BTTS in their last 6 away league matches;FORTUNA SITTARD vs az alkmaar;1.7;04/04/2026 13:45;2-0;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.926407300240448;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 6 jogos (Odds: 1.70) Streak bonus: +9% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Eredivisie;Fortuna Sittard have had Over 2.5 Match Goals in their last 12 league matches;FORTUNA SITTARD vs az alkmaar;1.36;04/04/2026 13:45;2-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.8223907564974671;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 12 jogos (Odds: 1.36) Streak bonus: +18% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Eredivisie;Fortuna Sittard have had Over 2.5 Match Goals in their last 6 away league matches;FORTUNA SITTARD vs az alkmaar;1.36;04/04/2026 13:45;2-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.7857169308046452;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 1.36) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Premier League;Krasnodar have had Over 2.5 Match Goals in their last 6 league matches;KRASNODAR vs terek grozny;;04/04/2026 13:45;'0-1;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.8098837346636846;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: OVER_2.5 em 6 jogos (Odds: 2.00) Streak bonus: +9% Tipo bonus: +4% Previsão: MANTERÁ STREAK
Portugese Liga NOS;Sp Braga have had Over 2.5 Match Goals in their last 8 league matches;SP BRAGA vs moreirense;1.95;04/04/2026 14:00;1-0;FALSO;MEDIA_CONFIABILIDADE;OVER_2.5;0.5956392006709024;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 8 jogos (Odds: 1.95) Streak bonus: +12% Tipo bonus: +4% Previsão: INTERROMPERÁ STREAK
1. Liga;Wieczysta Krakow have had BTTS in their last 7 home league matches;WIECZYSTA KRAKOW vslks lodz;1.67;04/04/2026 14:30;'0-2;FALSO;MEDIA_CONFIABILIDADE;BTTS;0.7637815092260276;JOGO_FUTURO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: BTTS em 7 jogos (Odds: 1.67) Streak bonus: +10% Tipo bonus: +5% Previsão: MANTERÁ STREAK
Saudi Pro League;Al Taawoun have had BTTS in their last 7 league matches;AL TAAWOUN vs al hilal;1.83;04/04/2026 15:00;'2-2;VERDADEIRO;MEDIA_CONFIABILIDADE;BTTS;0.5936740621664716;JOGO_FUTURO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.83) Streak bonus: +10% Tipo bonus: +5% Previsão: INTERROMPERÁ STREAK
