League;Stat;Next Match;Odds;Date;Situacao;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Previsao;Padrao;Recomendacao;Analise_Detalhada
First Division;Aalborg BK have had Over 2.5 Match Goalsin their last 7 league matches;AALBORG BK vs lyngby boldklub;1.75;25/10/2025 09:00;;OVER_2.5;BAIXA_CONFIABILIDADE;0.5983602617508781;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 1.75) [BONUS +10%] Previsao: INTERROMPERA STREAK
First Division;Lyngby Boldklub have had Over 2.5 Match Goalsin their last 6 league matches;LYNGBY BOLDKLUB vs aalborg bk;1.75;25/10/2025 09:00;;OVER_2.5;BAIXA_CONFIABILIDADE;0.5288797704843549;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.75) [BONUS +10%] Previsao: INTERROMPERA STREAK
3. Liga;Ulm have had BTTS in their last 9 league matches;ULM HAVE HAD BTTS vs verl;1.53;25/10/2025 09:00;;BTTS;BAIXA_CONFIABILIDADE;0.47735119047619057;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 9 jogos (Odds: 1.53) [BONUS +10%] Previsao: INTERROMPERA STREAK
3. Liga;Havelse have had BTTS in their last 7 league matches;HAVELSE HAVE HAD BTTS vs energie cottbus;1.67;25/10/2025 09:00;;BTTS;BAIXA_CONFIABILIDADE;0.31364184286177954;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.67) [BONUS +10%] Previsao: INTERROMPERA STREAK
Swedish Superettan;Utsikten have Lost their last 6 away league matches;UTSIKTEN vs sandviken;1.95;25/10/2025 10:00;;DERROTA;BAIXA_CONFIABILIDADE;0.6198015873015873;VERDADEIRO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: DERROTA em 6 jogos (Odds: 1.95) [BONUS +10%] Previsao: MANTERA STREAK
Swedish Superettan;Brage have Lost their last 6 league matches;BRAGE vs helsingborg;2.7;25/10/2025 10:00;;DERROTA;BAIXA_CONFIABILIDADE;0.38066341991342;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 2.7) [BONUS +10%] Previsao: INTERROMPERA STREAK
Serie B;Cesena have had BTTS in their last 8 league matches;CESENA HAVE HAD BTTS vs südtirol;1.95;25/10/2025 10:00;;BTTS;BAIXA_CONFIABILIDADE;0.37638375350140063;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 8 jogos (Odds: 1.95) [BONUS +10%] Previsao: INTERROMPERA STREAK
3. Liga;Schweinfurt have had Over 2.5 Match Goalsin their last 7 league matches;SCHWEINFURT vs osnabruck;1.8;25/10/2025 11:30;;OVER_2.5;BAIXA_CONFIABILIDADE;0.6818713706816297;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: 1.8) [BONUS +10%] Previsao: MANTERA STREAK
Bundesliga;FC Bayern München have Won their last 7 league matches;FC BAYERN MÜNCHEN vs borussia mönchengladbach;1.25;25/10/2025 10:30;;VITORIA;BAIXA_CONFIABILIDADE;0.5686282467532469;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 7 jogos (Odds: 1.25) [BONUS +10%] Previsao: INTERROMPERA STREAK
Fortuna Liga;Žilina have had BTTS in their last 6 league matches;ŽILINA vs skalica;1.8;25/10/2025 10:30;;BTTS;BAIXA_CONFIABILIDADE;0.512677946074401;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 6 jogos (Odds: 1.8) [BONUS +10%] Previsao: INTERROMPERA STREAK
Fortuna Liga;Žilina have had Over 2.5 Match Goalsin their last 9 league matches;ŽILINA vs skalica;1.7;25/10/2025 10:30;;OVER_2.5;BAIXA_CONFIABILIDADE;0.4873312715062713;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 9 jogos (Odds: 1.7) [BONUS +10%] Previsao: INTERROMPERA STREAK
Bundesliga;Augsburg have had BTTS in their last 7 league matches;AUGSBURG HAVE HAD BTTS vs rb leipzig;1.44;25/10/2025 10:30;;BTTS;BAIXA_CONFIABILIDADE;0.4652309098065679;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.44) [BONUS +10%] Previsao: INTERROMPERA STREAK
Bundesliga;Ein Frankfurt have had Over 2.5 Match Goalsin their last 7 league matches;EIN FRANKFURT vs st pauli;1.57;25/10/2025 10:30;;OVER_2.5;BAIXA_CONFIABILIDADE;0.41064245354570716;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.57) [BONUS +10%] Previsao: INTERROMPERA STREAK
Scottish League 1;Peterhead have had Over 2.5 Match Goalsin their last 8 league matches;PETERHEAD vs inverness c;1.67;25/10/2025 11:00;;OVER_2.5;BAIXA_CONFIABILIDADE;0.6913203643403011;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 8 jogos (Odds: 1.67) [BONUS +10%] Previsao: MANTERA STREAK
