League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Eredivisie;AZ Alkmaar have had BTTS in their last 7 home league matches;AZ ALKMAAR vs excelsior;1.62;14/12/2025 12:45;;;BTTS;MEDIA_CONFIABILIDADE;0.6604973495133122;FALSO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 1.62) [BONUS +15%] Previsao: MANTERA STREAK
Eredivisie;AZ Alkmaar have had Over 2.5 Match Goals in their last 7 home league matches;AZ ALKMAAR vs excelsior;1.36;14/12/2025 12:45;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.6674609504810324;FALSO;VERDADEIRO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: OVER_2.5 em 7 jogos (Odds: 1.36) [BONUS +15%] Previsao: MANTERA STREAK
Greek Super League;PAOK have had Over 2.5 Match Goals in their last 6 league matches;PAOK vs atromitos;1.8;14/12/2025 13:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.3320849490390982;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.8) [BONUS +15%] Previsao: INTERROMPERA STREAK
1. Lig;Pendikspor have Won their last 7 home league matches;PENDIKSPOR vs iğdir fk;2.0;14/12/2025 13:00;;;VITORIA;MEDIA_CONFIABILIDADE;0.4784197473473767;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 7 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
Ligue 1;Lens have Won their last 6 home league matches;LENS vs nice;1.5;14/12/2025 13:15;;;VITORIA;MEDIA_CONFIABILIDADE;0.5254980528244605;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: VITORIA em 6 jogos (Odds: 1.5) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bundesliga;FC Bayern Munchen have Won their last 7 home league matches;FC BAYERN MUNCHEN vs mainz;1.1;14/12/2025 13:30;;;VITORIA;MEDIA_CONFIABILIDADE;0.8306475917715471;FALSO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 7 jogos (Odds: 1.1) [BONUS +15%] Previsao: MANTERA STREAK
Bundesliga;FC Bayern Munchen have had Over 2.5 Match Goals in their last 13 league matches;FC BAYERN MUNCHEN vs mainz;1.22;14/12/2025 13:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.7430369682011253;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 13 jogos (Odds: 1.22) [BONUS +15%] Previsao: MANTERA STREAK
Bundesliga;FC Bayern Munchen have had Over 2.5 Match Goals in their last 7 home league matches;FC BAYERN MUNCHEN vs mainz;1.22;14/12/2025 13:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.7516213038238405;FALSO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 7 jogos (Odds: 1.22) [BONUS +15%] Previsao: MANTERA STREAK
Premier League;Leeds have had Over 2.5 Match Goals in their last 7 league matches;LEEDS vs brentford;1.91;14/12/2025 13:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.5200365139681034;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.91) [BONUS +15%] Previsao: INTERROMPERA STREAK
Cypriot First Division;Enosis have Lost their last 6 home league matches;ENOSIS vs pafos fc;1.16;14/12/2025 14:00;;;DERROTA;MEDIA_CONFIABILIDADE;0.8375315784457883;FALSO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: DERROTA em 6 jogos (Odds: 1.16) [BONUS +15%] Previsao: MANTERA STREAK
Cypriot First Division;Enosis have Lost their last 7 league matches;ENOSIS vs pafos fc;1.16;14/12/2025 14:00;;;DERROTA;MEDIA_CONFIABILIDADE;0.7872056720974776;FALSO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: DERROTA em 7 jogos (Odds: 1.16) [BONUS +15%] Previsao: MANTERA STREAK
Czech Liga;Sparta Praha have had BTTS in their last 7 home league matches;SPARTA PRAHA vs slovan liberec;1.91;14/12/2025 14:30;;;BTTS;MEDIA_CONFIABILIDADE;0.5200365139681034;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.91) [BONUS +15%] Previsao: INTERROMPERA STREAK
La Liga;Villarreal have Won their last 6 league matches;VILLARREAL vs levante;1.7;14/12/2025 14:30;;;VITORIA;MEDIA_CONFIABILIDADE;0.8724906352345633;FALSO;VERDADEIRO;PADRAO_FORTISSIMO;EXCELENTE;PADRAO_FORTISSIMO: VITORIA em 6 jogos (Odds: 1.7) [BONUS +15%] Previsao: MANTERA STREAK
Greek Super League;Olympiacos F.C.have Won their last 7 league matches;OLYMPIACOS F.C.HAVE vs aris;1.42;14/12/2025 15:00;;;VITORIA;MEDIA_CONFIABILIDADE;0.58994532310012;VERDADEIRO;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: VITORIA em 7 jogos (Odds: 1.42) [BONUS +15%] Previsao: INTERROMPERA STREAK
3. Liga;Havelse have had BTTS in their last 7 away league matches;HAVELSE vs schweinfurt;1.44;14/12/2025 15:30;;;BTTS;MEDIA_CONFIABILIDADE;0.5986960090783942;VERDADEIRO;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 7 jogos (Odds: 1.44) [BONUS +15%] Previsao: INTERROMPERA STREAK
3. Liga;Schweinfurt have had Over 2.5 Match Goals in their last 6 home league matches;SCHWEINFURT vs havelse;1.5;14/12/2025 15:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.5254980528244605;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 6 jogos (Odds: 1.5) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bundesliga;Stuttgart have had Over 2.5 Match Goals in their last 7 away league matches;STUTTGART vs werder bremen;1.53;14/12/2025 15:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.5434184949489513;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Bundesliga;Stuttgart have had Over 2.5 Match Goals in their last 7 league matches;STUTTGART vs werder bremen;1.53;14/12/2025 15:30;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.5434184949489513;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
