League;Stat;Next Match;Odds;Date;Resultado;Situação;Tipo_Estatistica;Liga_Categoria;Probabilidade_Sucesso;Efetividade;Previsao;Padrao;Recomendacao;Analise_Detalhada
Tweede Divisie;RKAV Volendam have had BTTS in their last 7 league matches;RKAV VOLENDAM vs rijnsburgse boys;;13/12/2025 10:30;;;BTTS;MEDIA_CONFIABILIDADE;0.4909510922332246;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
Tweede Divisie;Rijnsburgse Boys have had BTTS in their last 6 away league matches;RIJNSBURGSE BOYS vs rkav volendam;;13/12/2025 10:30;;;BTTS;MEDIA_CONFIABILIDADE;0.7798837346636845;FALSO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: BTTS em 6 jogos (Odds: 2.0) [BONUS +15%] Previsao: MANTERA STREAK
Tweede Divisie;Jong Sparta have had BTTS in their last 8 league matches;JONG SPARTA vs katwijk;;13/12/2025 11:00;;;BTTS;MEDIA_CONFIABILIDADE;0.5037943176576966;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 8 jogos (Odds: 2.0) [BONUS +15%] Previsao: INTERROMPERA STREAK
Tweede Divisie;Quick Boys have Won their last 6 home league matches;QUICK BOYS vs kozakken boys;1.42;13/12/2025 11:00;;;VITORIA;MEDIA_CONFIABILIDADE;0.6990564009327297;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 6 jogos (Odds: 1.42) [BONUS +15%] Previsao: MANTERA STREAK
Tweede Divisie;Spakenburg have had Over 2.5 Match Goals in their last 7 league matches;SPAKENBURG vs koninklijke hfc;1.53;13/12/2025 11:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.4895052250812979;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.53) [BONUS +15%] Previsao: INTERROMPERA STREAK
Championship;Birmingham have had BTTS in their last 6 league matches;BIRMINGHAM vs charlton;2.0;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.7798837346636845;FALSO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: BTTS em 6 jogos (Odds: 2.0) [BONUS +15%] Previsao: MANTERA STREAK
Championship;Birmingham have had Over 2.5 Match Goals in their last 6 home league matches;BIRMINGHAM vs charlton;2.0;13/12/2025 12:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.7798837346636847;FALSO;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 2.0) [BONUS +15%] Previsao: MANTERA STREAK
Pro League;Cercle Brugge have had BTTS in their last 8 home league matches;CERCLE BRUGGE vs mechelen;1.62;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.6282705089071093;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.62) [BONUS +15%] Previsao: INTERROMPERA STREAK
Championship;Coventry have Won their last 6 home league matches;COVENTRY vs bristol city;1.66;13/12/2025 12:00;;;VITORIA;MEDIA_CONFIABILIDADE;0.7276163040267093;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: VITORIA em 6 jogos (Odds: 1.66) [BONUS +15%] Previsao: MANTERA STREAK
Scottish League 2;Dumbarton have had BTTS in their last 7 home league matches;DUMBARTON vs east kilbride;1.57;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.578980234952835;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.57) [BONUS +15%] Previsao: INTERROMPERA STREAK
SPL;Dundee have Lost their last 6 away league matches;DUNDEE vs livingston;1.81;13/12/2025 12:00;;;DERROTA;MEDIA_CONFIABILIDADE;0.5164686042571576;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 6 jogos (Odds: 1.81) [BONUS +15%] Previsao: INTERROMPERA STREAK
Scottish League 2;East Kilbride have had Over 2.5 Match Goals in their last 7 away league matches;EAST KILBRIDE vs dumbarton;1.57;13/12/2025 12:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.578980234952835;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: OVER_2.5 em 7 jogos (Odds: 1.57) [BONUS +15%] Previsao: INTERROMPERA STREAK
Scottish League 2;Edinburgh City have had BTTS in their last 7 home league matches;EDINBURGH CITY vs clyde;1.57;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.578980234952835;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: BTTS em 7 jogos (Odds: 1.57) [BONUS +15%] Previsao: INTERROMPERA STREAK
Cypriot First Division;Ethnikos Achna have had Over 2.5 Match Goals in their last 6 away league matches;ETHNIKOS ACHNA vs akritas;1.95;13/12/2025 12:00;;;OVER_2.5;MEDIA_CONFIABILIDADE;0.7128652421693211;FALSO;VERDADEIRO;PADRAO_FORTE;BOA;PADRAO_FORTE: OVER_2.5 em 6 jogos (Odds: 1.95) [BONUS +15%] Previsao: MANTERA STREAK
League Two;Fleetwood Town have had BTTS in their last 8 league matches;FLEETWOOD TOWN vs newport county;1.67;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.6311650903131738;VERDADEIRO;FALSO;PADRAO_SOLIDO;BOA;PADRAO_SOLIDO: BTTS em 8 jogos (Odds: 1.67) [BONUS +15%] Previsao: INTERROMPERA STREAK
Northern Ireland Premiership;Glenavon have Lost their last 10 away league matches;GLENAVON vs cliftonville;1.4;13/12/2025 12:00;;;DERROTA;MEDIA_CONFIABILIDADE;0.5081985462473005;VERDADEIRO;FALSO;PADRAO_REGULAR;REGULAR;PADRAO_REGULAR: DERROTA em 10 jogos (Odds: 1.4) [BONUS +15%] Previsao: INTERROMPERA STREAK
Northern Ireland Premiership;Glenavon have had BTTS in their last 6 league matches;GLENAVON vs cliftonville;1.9;13/12/2025 12:00;;;BTTS;MEDIA_CONFIABILIDADE;0.6109551922913931;VERDADEIRO;FALSO;PADRAO_SOLIDO;REGULAR;PADRAO_SOLIDO: BTTS em 6 jogos (Odds: 1.9) [BONUS +15%] Previsao: INTERROMPERA STREAK
