League;Stat;Next Match;Odds;Date;Situacao;Target;Tipo_Estatistica;Tamanho_Streak;Local_Jogo;Time;Probabilidade_Sucesso;Previsao_Modelo;Padrao_Identificado;Recomendacao;Analise_Detalhada;Bonus_Complementar;Tipo_Analise
Liga Pro Serie B;Chacaritas have had BTTS in their last 7 home league matches;Home vs 22 de Julio;;08/10/2025 17:00;;-1.0;BTTS;7;CASA;Chacaritas;0.63;VERDADEIRO;PADRAO_REGULAR;REGULAR;PREVISAO - PADRAO REGULAR: BTTS em 7 jogos (Odds: N/D) [BONUS +8% complementar] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.08;PREVISAO_QUALITATIVA
US NWSL;Kansas City Current W have Won their last 7 away league matches;Away vs Angel City W;1.57;06/10/2025 23:30;;-1.0;VITORIA;7;FORA;Kansas City Current W;0.75;VERDADEIRO;PADRAO_FORTE;BOA;PREVISAO - PADRAO FORTE: VITORIA em 7 jogos (Odds: N/D) Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.0;PREVISAO_QUALITATIVA
Liga Pro Serie B;22 de Julio have Lost their last 6 away league matches;Away vs Chacaritas;;08/10/2025 17:00;;-1.0;DERROTA;6;FORA;22 de Julio;0.7999999999999999;VERDADEIRO;PADRAO_FORTE;EXCELENTE;PREVISAO - PADRAO FORTE: DERROTA em 6 jogos (Odds: N/D) [BONUS +8% complementar] Previsao: MANTERA STREAK [SEM ODDS - ANALISE QUALITATIVA];0.08;PREVISAO_QUALITATIVA
